Mouse #,K=10,K=2,K=3,K=4,K=5,K=6,K=7,K=8,K=9
1.0,9.0,0.0,2.0,3.0,3.0,3.0,0.0,5.0,5.0
1119.0,8.0,0.0,0.0,2.0,2.0,4.0,4.0,7.0,8.0
1316.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0
1452.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,2.0,2.0
1453.0,2.0,1.0,0.0,2.0,2.0,2.0,6.0,2.0,2.0
1454.0,3.0,0.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0
1461.0,3.0,0.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0
1463.0,8.0,0.0,0.0,0.0,3.0,3.0,3.0,7.0,8.0
1468.0,0.0,0.0,2.0,3.0,3.0,3.0,3.0,0.0,0.0
1472.0,7.0,1.0,0.0,2.0,2.0,5.0,6.0,2.0,4.0
1539.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,2.0
1578.0,3.0,0.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0
1583.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0
1587.0,7.0,1.0,0.0,0.0,0.0,5.0,6.0,4.0,4.0
1588.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,1.0,1.0
1589.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1590.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0
1592.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
1598.0,9.0,0.0,2.0,3.0,3.0,3.0,3.0,3.0,5.0
1747.0,2.0,1.0,0.0,0.0,2.0,5.0,6.0,2.0,2.0
1752.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1755.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
1788.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
1858.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1953.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,6.0
1963.0,3.0,0.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0
